24 39 24 18 18 3 58 22 46 60 6 15 34 5 25 66 11 18 30 19 7 7 16 16 52 24 8 
47 53 17 49 10 137 33 93 33 23 8 32 7 3 47 16 21 4 41 21 10 23 25 10 9 36 38 
3 5 35 8 145 21 6 22 65 20 19 34 6 94 6 60 22 5 15 25 10 4 6 8 13 23 17 
64 16 18 4 53 29 9 54 67 3 3 12 37 40 78 16 90 6 62 94 25 25 23 26 16 10 10 
34 12 10 10 10 8 47 18 29 4 3 25 5 30 13 38 22 5 38 3 42 26 15 7 18 12 22 
12 103 44 32 25 9 20 3 3 9 24 52 16 11 13 28 27 8 19 5 4 7 68 13 16 46 3 
6 63 19 34 39 18 20 84 17 47 6 49 24 28 19 6 20 104 16 10 9 15 21 21 16 22 12 
11 76 4 20 49 31 112 3 7 48 11 9 25 14 11 4 28 22 23 178 103 69 29 13 41 23 56 
22 36 25 29 6 61 31 27 20 42 4 6 5 85 65 34 8 20 44 17 91 10 6 11 46 42 21 
35 7 11 5 44 27 18 9 24 12 36 10 106 26 34 6 37 22 16 7 42 12 14 16 43 29 96 
78 21 10 25 6 3 72 24 17 10 11 45 23 11 43 19 4 36 20 35 9 46 22 9 8 13 4 
26 88 63 28 33 10 73 9 16 72 9 4 33 50 43 17 16 46 22 8 26 25 17 32 38 28 16 
3 56 38 7 50 78 25 5 73 11 3 25 42 43 39 5 6 60 23 57 26 17 12 55 16 8 29 
3 7 21 57 23 30 27 33 39 18 125 20 7 68 6 3 12 15 27 10 69 10 49 21 8 31 47 
23 41 3 19 38 3 49 45 53 28 6 22 25 34 22 9 3 23 8 102 30 58 5 80 20 17 19 
56 5 7 76 7 52 12 50 104 18 26 3 7 68 25 14 19 12 46 52 33 93 11 14 37 50 5 
6 15 29 62 12 21 6 7 7 46 9 46 25 21 29 38 17 19 93 98 3 13 3 42 31 42 14 
33 49 33 19 53 46 66 66 35 96 25 26 45 68 22 28 41 7 65 22 27 74 21 64 16 32 45 
77 3 15 15 6 11 13 6 20 10 44 3 50 135 32 6 4 43 38 24 55 10 4 53 72 45 17 
41 19 42 92 38 44 25 20 6 16 21 5 21 154 10 52 46 85 6 67 25 12 44 26 9 80 17 
32 16 18 17 21 22 12 28 29 35 23 21 13 20 45 19 42 63 26 7 30 53 26 6 34 16 56 
10 48 13 7 55 12 38 12 44 27 5 31 20 4 26 34 15 36 3 31 6 10 8 5 7 13 42 
5 58 7 126 100 14 45 9 50 6 9 26 19 52 3 79 6 9 23 7 10 11 55 10 40 37 34 
57 3 21 36 20 44 11 26 3 80 23 41 15 24 29 66 50 10 8 63 21 3 11 7 34 22 10 
69 64 15 46 12 155 6 44 21 8 9 32 49 12 21 36 9 52 17 8 6 14 10 27 94 61 6 
91 29 16 16 18 15 39 37 32 16 11 26 59 4 8 16 9 6 9 27 5 54 47 6 4 3 45 
12 13 20 17 33 71 15 19 43 16 3 26 32 42 16 68 49 13 8 9 24 4 55 36 10 15 22 
37 4 13 21 39 31 14 5 12 23 44 12 42 28 21 34 11 13 6 23 51 11 4 17 38 7 36 
45 56 5 40 40 45 14 43 10 14 14 10 13 22 12 11 33 26 6 9 3 5 5 53 15 5 19 
7 5 68 3 9 45 6 44 6 9 75 20 33 76 38 53 26 111 13 10 37 16 31 9 14 27 11 
3 51 38 34 21 75 69 35 73 20 17 3 8 31 3 29 78 19 5 57 73 19 18 13 6 38 87 
20 12 5 153 103 3 53 42 28 22 17 15 10 42 4 15 41 30 8 16 4 19 17 47 5 5 35 
14 22 20 19 11 57 22 38 7 23 37 29 5 13 10 11 81 32 26 22 31 23 17 44 16 42 38 
92 45 6 6 21 28 8 3 31 8 19 43 92 29 14 70 19 7 16 12 12 3 3 33 6 19 38 
